slug,title,show,youtubeId,sheetMusicUrl
"anonymous-sex","Anonymous Sex","Tales from the Bad Years","mZeYOsdA5Bk","https://newmusicaltheatre.com/products/anonymous-sex"
"anyway","Anyway","Tales from the Bad Years","BkyBw3IO1-M","https://newmusicaltheatre.com/collections/tales-from-the-bad-years/products/anyway"
